fecha_de_ocurrencia,estado_del_evento,fecha_de_conclusion,tipo_de_evento,causa_probable,conocido_atendido,autoridad_ambiental,municipio,area_de_incidencia,barrio_vereda_corregimiento,familias_afectadas,viviendas_destruidas,viviendas_averiadas,acueductos_destruidos,vias_afectadas,puentes_obstruidos_afectados,establecimientos_educativos,afectacion_hectareas,epicentro_sismo,magnitud_richter,localizacion_lat_long_profu,heridos,desaparecidos,fallecidos,fecha_de_reporte,alertas,albergues,observaciones
2021-02-04T00:00:00.000,ATENDIDO,2021-02-05T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,CMGRD SURATA,CDMB,SURATA,RURAL,CORREGIMIENTO EL MOHAN,0,0,0,0,0,0,0,405,N/A,N/A,N/A,0,0,0,2021-02-04T00:00:00.000,N/A,N/A,"El CMGRD y comandante de bomberos reporta la atención de un incendio forestal en el corregimiento de Mohan que ha afectado varias hectáreas de bosques, información del CDGRD de Norte de Santander este forestal se inició en el municipio de Arboledas Norte de Santander y avanza por el páramo de Santurban. estado LIQUIDADO, se espera el informe de la autoridad ambiental para determinar el area afectada y los daños ambientales NOTA: Segun informe de la autoridad ambiental la afectación ambiental fue de 405 hectáreas"
2021-02-06T00:00:00.000,ATENDIDO,2021-02-06T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE MOLAGAVITA,CAS,MOLAGAVITA,RURAL,VEREDA EL CANEY,0,0,0,0,0,0,0,4,N/A,N/A,N/A,0,0,0,2021-02-06T00:00:00.000,N/A,N/A,"La comandante de bomberos reporta la atención de un incendio forestal en la vereda el Caney afectando 4 hectáreas de pastizales y bosques, estado liquidado"
2021-02-08T00:00:00.000,ATENDIDO,2021-02-08T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,CMGRD EL PLAYON,CDMB,EL PLAYON,RURAL,VEREDA LIMITES,0,0,0,0,0,0,0,20,N/A,N/A,N/A,0,0,0,2021-02-08T00:00:00.000,N/A,N/A,"EL CMGRD reporta incendio forestal en la vereda Limites, atienden defensa civil, apoya policía nacional, bomberos voluntarios de Rionegro y PONALSAR y ejercito nacional, afectación de 20 hectáreas de bosques y pastizales"
2021-02-09T00:00:00.000,ATENDIDO,2021-02-09T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE RIONEGRO,CDMB,RIONEGRO,RURAL,VEREDA LOS CARPINTEROS,0,0,0,0,0,0,0,5,N/A,N/A,N/A,0,0,0,2021-02-09T00:00:00.000,N/A,N/A,"El comandante de bomberos reporta la atención de un incendio forestal en la vereda Carpinteros donde se queman aproximadamente 5 hectáreas de vegetación nativa y helechal, al parecer se presenta por quemas prohibidas para cultivos, estado LIQUIDADO"
2021-02-10T00:00:00.000,ATENDIDO,2021-02-10T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE GALAN,CAS,GALAN,RURAL,VEREDA EL HOVO,0,0,0,0,0,0,0,2,N/A,N/A,N/A,0,0,0,2021-02-10T00:00:00.000,N/A,N/A,"El comandante de bomberos reporta la atención de un incendio forestal en la vereda el Hovo, que afectó 2 hectáreas de bosques y pastizales, atendido por 4 unidades, estado LIQUIDADO"
2021-02-11T00:00:00.000,ATENDIDO,2021-02-11T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE LOS SANTOS,CAS,LOS SANTOS,RURAL,VEREDA LA MOJARRA,0,0,0,0,0,0,0,20,N/A,N/A,N/A,0,0,0,2021-02-11T00:00:00.000,N/A,N/A,"El comandante de bomberos reporta la atención de un incendio forestal en la vereda el la Mojarra, sector refugio la Roca que afectó 20 hectáreas de pastizales y bosques, atendieron 2 máquinas y 12 bomberos, estado LIQUIDADO"
2021-02-13T00:00:00.000,ATENDIDO,2021-02-13T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE SABANA,CAS,SABANA DE TORRES,RURAL,VEREDA LA PAMPA,0,0,0,0,0,0,0,8,N/A,N/A,N/A,0,0,0,2021-02-13T00:00:00.000,N/A,N/A,"la comandante de bomberos reporta la atención de un incendio forestal en la vereda la Pampa, atendido por 2 maquinas y 4 unidades, afectó 8 hectáreas de pastizales y bosques, estado LIQUIDADO"
2021-02-15T00:00:00.000,ATENDIDO,2021-02-15T00:00:00.000,GRANIZADA,FUERTES LLUVIAS,CMGRD DE TONA,CDMB,TONA,RURAL,CORREGIMIENTO DE BERLIN,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,2021-02-15T00:00:00.000,N/A,N/A,"El comandante de bomberos de Tona reporta fuerte granizada en el corregimiento de Berlín y áreas cercanas al Picacho que afectó varios cultivos de cebolla y papa, se adelanta la Evaluación de Daños y Análisis de Necesidades."
2021-02-16T00:00:00.000,ATENDIDO,2021-02-16T00:00:00.000,GRANIZADA,FUERTES LLUVIAS,CMGRD ENCINO,CAS,ENCINO,RURAL,VIA AL MUNICIPIO DE DUITAMA,0,0,0,0,1,0,0,0,N/A,N/A,N/A,0,0,0,2021-02-16T00:00:00.000,N/A,N/A,"La CMGRD reporta fuertes lluvias  y granizada que afectó cultivos en diferentes veredas, además quedó incomunicado del municipio con Duitama Boyacá por deslizamientos en el sector la Chorrera. Se adelantan los EDAN."
2021-02-16T00:00:00.000,ATENDIDO,2021-02-16T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE SIMACOTA,CAS,SIMACOTA,RURAL,VEREDA EL NAUNO,0,0,0,0,0,0,0,1,N/A,N/A,N/A,0,0,0,2021-02-16T00:00:00.000,N/A,N/A,"El comandante de bomberos reporta la atención y liquidación de un incendio forestal en la vereda el Nauno, apoyó la policía nacional, 01 hectárea afectada"
2021-02-17T00:00:00.000,ATENDIDO,2021-02-17T00:00:00.000,GRANIZADA,FUERTES LLUVIAS,CMGRD CONCEPCION,CAS,CONCEPCION,RURAL,VEREDAS BOMBONA Y BARBULA,0,0,0,0,0,0,0,10,N/A,N/A,N/A,0,0,0,2021-02-17T00:00:00.000,N/A,N/A,La CMGRD reporta fuertes lluvias y granizada que afectó cultivos de durazno y cebolla principalmente en las veredas Bomboná y Bárbula. Se adelantan los EDAN
2021-02-18T00:00:00.000,ATENDIDO,2021-02-18T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE LOS SANTOS,CDMB,LOS SANTOS,RURAL,VEREDA TABACAL,0,0,0,0,0,0,0,1,N/A,N/A,N/A,0,0,0,2021-02-18T00:00:00.000,N/A,N/A,"El comandante de bomberos reporta la atención de un incendio forestal en la vereda Tabacal, controlado y liquidado, afectación de 1 hectárea de pastizales y bosques"
